id,candidate,program_type,priority_group,species,virus,lineage_or_scope,stage,stage_key,stage_order,platform_family,platform,modality,sponsor_or_steward,setting,trial_status,clinical_phase_detail,publication_status,trial_start_date,primary_completion_date,completion_date,results_publication_date,trial_registry_ids,trial_locations,funding,reserve_or_stockpile_status,status_summary,next_milestone_or_gap,evidence_class,is_gap,is_clinical,source_titles,source_urls,registry_status_summary,publication_watch_summary,review_flags,curation_note
niv-chadox1-phase2-ongoing,ChAdOx1 NipahB,Human vaccine,Active public-health priority,Henipavirus nipahense,Nipah virus,Bangladesh exposure setting / NiV-B-focused candidate,Phase II ongoing,phase2_ongoing,9,Viral vector - chimpanzee adenovirus,Non-replicating chimpanzee adenovirus vector (ChAdOx1) expressing Nipah virus Bangladesh antigen,Human prophylactic vaccine,"University of Oxford Pandemic Sciences Institute, CEPI, icddr,b, Serum Institute of India",Phase I in Oxford; Phase IIa safety/immunogenicity study in Bangladesh; investigational reserve manufacturing by SII,"Phase II ongoing; Phase I one-year follow-up complete, results expected",World-first Phase II Nipah vaccine trial launched in Bangladesh in December 2025; planned enrolment 306 healthy adults aged 18–55. Earlier Oxford Phase I enrolled 51 adults aged 18–55.,Phase I results expected; Phase II not yet read out,2024-01,,,,"[""ISRCTN87634044"", ""ISRCTN62461807""]","[{""city"": ""Oxford"", ""country"": ""United Kingdom"", ""population"": ""Healthy adults aged 18–55"", ""role"": ""Phase I first-in-human trial"", ""site"": ""Oxford Vaccine Group / University of Oxford""}, {""city"": ""Dhaka / Nipah-affected region"", ""country"": ""Bangladesh"", ""population"": ""306 healthy adults aged 18–55"", ""role"": ""Phase IIa affected-region safety and immunogenicity trial"", ""site"": ""icddr,b partner sites""}, {""city"": ""Pune"", ""country"": ""India"", ""population"": ""Not a clinical trial site"", ""role"": ""Manufacturing / investigational reserve"", ""site"": ""Serum Institute of India""}]","[{""amount"": 7.3, ""currency"": ""USD"", ""funder"": ""CEPI"", ""grant_or_award"": ""SII process development, manufacturing, Phase II supply, investigational reserve"", ""note"": ""Funding of up to US$7.3M supports manufacturing and up to 100,000 investigational reserve doses."", ""unit"": ""million""}, {""amount"": 150, ""currency"": ""USD"", ""funder"": ""CEPI"", ""grant_or_award"": ""Nipah R&D portfolio context"", ""note"": ""CEPI describes a broader US$150M Nipah R&D portfolio."", ""unit"": ""million""}]","Investigational reserve of up to 100,000 doses planned for emergency-use deployment; not human licensure.","Updated to Phase II ongoing. ChAdOx1 NipahB is the most advanced public Nipah vaccine candidate, with affected-region testing now launched in Bangladesh and a CEPI/SII investigational reserve pathway.","Phase II safety/immunogenicity readout, Phase I publication, correlates/assay work, emergency-use governance, and larger at-risk population strategy.",Phase II ongoing + investigational reserve manufacturing,False,True,CEPI: University of Oxford launches world-first Phase II Nipah vaccine trial | University of Oxford: world-first Phase II Nipah vaccine trial launch | CEPI: establishing the world’s largest Nipah virus vaccine reserve | ISRCTN87634044 ChAdOx1 NipahB Phase I registry | ISRCTN62461807 ChAdOx1 NipahB Phase II Bangladesh registry,https://cepi.net/university-oxford-launches-worlds-first-phase-ii-nipah-virus-vaccine-trial | https://www.ox.ac.uk/news/2025-12-15-worlds-first-phase-ii-nipah-virus-vaccine-trial-launch | https://cepi.net/establishing-worlds-largest-nipah-virus-vaccine-reserve | https://www.isrctn.com/ISRCTN87634044 | https://www.isrctn.com/ISRCTN62461807,ISRCTN87634044: monitored page | ISRCTN62461807: monitored page,ChAdOx1-NipahB: 26 Europe PMC hits,Source returned HTTP 403: https://europepmc.org/search?query=%22ChAdOx1%20NipahB%22%20OR%20%22ChAdOx1%20NiV%22,Stage changed from reserve/emergency readiness to Phase II ongoing. Reserve manufacturing is preserved as a separate field so the maturity lane reflects the clinical-trial endpoint rather than stockpile readiness.
niv-phv02-phase2-planned,PHV02,Human vaccine,Active public-health priority,Henipavirus nipahense,Nipah virus,Bangladesh strain G glycoprotein in rVSV∆G-EBOV GP/NiV G vector,Phase II planned / funded,phase2_planned,8,Viral vector - recombinant VSV,Live attenuated recombinant vesicular stomatitis virus vector expressing NiV-B G and Ebola virus glycoprotein,Human prophylactic vaccine,"Public Health Vaccines, CEPI, NIAID originator technology",Phase II Bangladesh trial funded/planned after Phase Ia/Ib; product designed as potentially single-dose vaccine,Phase Ia/Ib completed; Phase II announced/planned for Bangladesh,"CEPI announced US$17.3M to support mid-stage human trials in Bangladesh, with an upcoming study expected to include about 500 adults and 75 children.",Phase I registry/results monitoring; no Phase II readout yet,,,,,"[""NCT05178901"", ""NCT06221813""]","[{""city"": ""Multiple / registry sites"", ""country"": ""United States"", ""population"": ""Healthy adult volunteers"", ""role"": ""Phase Ia/Ib clinical testing"", ""site"": ""Public Health Vaccines early clinical program""}, {""city"": ""Nipah-affected communities"", ""country"": ""Bangladesh"", ""population"": ""Approximately 500 adults and 75 children, per CEPI Technical Resources summary"", ""role"": ""Planned Phase II affected-area study"", ""site"": ""To be confirmed""}]","[{""amount"": 17.3, ""currency"": ""USD"", ""funder"": ""CEPI"", ""grant_or_award"": ""PHV02 mid-stage Bangladesh trial support"", ""note"": ""July 2025 award for mid-stage human trials."", ""unit"": ""million""}, {""amount"": 43.6, ""currency"": ""USD"", ""funder"": ""CEPI"", ""grant_or_award"": ""Earlier PHV partnering agreement through Phase II testing"", ""note"": ""PHV product page describes an earlier agreement worth up to US$43.6M."", ""unit"": ""million""}]",CEPI says a stockpile option could be pursued if the vaccine is successful and approved.,"PHV02 remains a funded Phase II/planned affected-area candidate, not yet curated as Phase II ongoing unless registry or sponsor sources confirm launch.","Verify Phase II launch/recruitment, study population, paediatric cohort governance, and Phase Ia/Ib publication or final registry status.",Phase II funded/planned; Phase Ia/Ib complete by sponsor/CEPI reporting,False,True,CEPI: new vaccine set for human trials in Nipah outbreak hotspot | CEPI Technical Resources: PHV02 in Bangladesh | Public Health Vaccines PHV02 product page | ClinicalTrials.gov NCT05178901 | ClinicalTrials.gov NCT06221813,https://cepi.net/new-vaccine-set-human-trials-nipah-outbreak-hotspot | https://cepi-tr.tghn.org/priority-diseases/nipah/ | https://phvaccines.com/PHV02.html | https://clinicaltrials.gov/study/NCT05178901 | https://clinicaltrials.gov/study/NCT06221813,"NCT05178901: COMPLETED (PHASE1); start 2022-01-10, primary completion 2023-05-30 | NCT06221813: COMPLETED (PHASE1); start 2024-01-26, primary completion 2024-09-30",PHV02: 24 Europe PMC hits,Source returned HTTP 403: https://europepmc.org/search?query=PHV02%20Nipah%20vaccine | NCT05178901 reports COMPLETED; review whether the curated stage still describes the public pathway. | NCT06221813 reports COMPLETED; review whether the curated stage still describes the public pathway.,Kept as Phase II planned/funded because the public source-backed status is planned launch; automatic registry checks will flag terminal or recruitment changes for review.
niv-hev-sg-phase1-results-published,HeV-sG-V / HenipaVax™,Human vaccine,Active public-health priority,Henipavirus nipahense / Henipavirus hendraense,Nipah virus; Hendra virus cross-protective antigen,Recombinant soluble Hendra G antigen evaluated clinically as Nipah vaccine; animal evidence supports Nipah/Hendra cross-protection,Phase I results published,phase1_results_published,7,Subunit protein,Recombinant soluble Hendra virus G glycoprotein subunit vaccine with alum adjuvant,Human prophylactic vaccine,"Auro Vaccines, PATH, CEPI; original USU/HJF technology",Single-centre US Phase I trial in healthy adults,Phase I completed; results published,"Randomised, observer-blind, placebo-controlled Phase I in healthy adults, registered as NCT04199169.",Published in The Lancet on 13 December 2025; PubMed record PMID 41248666.,,,,2025-12-13,"[""NCT04199169""]","[{""city"": ""Cincinnati, Ohio"", ""country"": ""United States"", ""population"": ""Healthy adults"", ""role"": ""Phase I clinical trial"", ""site"": ""Cincinnati Children’s Hospital Medical Center / single-centre Phase I site""}]","[{""amount"": 25, ""currency"": ""USD"", ""funder"": ""CEPI"", ""grant_or_award"": ""Initial Phase I support announced in 2019"", ""note"": ""CEPI funded first Phase I clinical trial of the Nipah vaccine candidate."", ""unit"": ""million""}]",No licensed human reserve; potential reactive outbreak-control use case discussed in publication summary.,Updated to Phase I results published. The Lancet publication reports the candidate as safe/tolerable and immunogenic across tested doses/regimens.,"Dose/regimen selection, immune-bridging strategy, affected-region testing, and manufacturing/readiness pathway.",Peer-reviewed Phase I results + animal cross-protection evidence,False,True,PubMed: HeV-sG-V Phase I Lancet record | The Lancet DOI for HeV-sG-V Phase I study | ClinicalTrials.gov NCT04199169 | CEPI: first Phase I Nipah vaccine candidate | npj Vaccines: single-dose investigational subunit vaccine evidence,https://pubmed.ncbi.nlm.nih.gov/41248666/ | https://doi.org/10.1016/S0140-6736(25)01390-X | https://clinicaltrials.gov/study/NCT04199169 | https://cepi.net/cepi-funded-nipah-virus-vaccine-candidate-first-reach-phase-1-clinical-trial | https://www.nature.com/articles/s41541-021-00284-w,"NCT04199169: COMPLETED (PHASE1); start 2020-02-18, primary completion 2022-05-06",HeV-sG-V: 21 Europe PMC hits,Source returned HTTP 403: https://doi.org/10.1016/S0140-6736(25)01390-X | Source returned HTTP 403: https://europepmc.org/search?query=%22HeV-sG-V%22%20Nipah%20vaccine,Moved from Phase I complete/immune bridge to Phase I results published and tagged with The Lancet publication date.
niv-mrna1215-phase1-results-published,mRNA-1215,Human vaccine,Active public-health priority,Henipavirus nipahense,Nipah virus,Structure-based chimeric prefusion F/G mRNA design; NiV-M immunogen with cross-reactivity monitoring,Phase I results published,phase1_results_published,7,mRNA,Lipid nanoparticle mRNA encoding chimeric prefusion F linked to G,Human prophylactic vaccine,"NIAID Vaccine Research Center, Moderna",US Phase I dose-escalation trial in healthy adults,Phase I completed; peer-reviewed results published,"First-in-human, open-label dose-escalation Phase I study in 40 healthy adults, registered as NCT05398796.","Phase I completed in September 2024; Nature Medicine results published in 2026, superseding prior “results pending” notes.",2022-07-11,2024-09-17,2024-09-17,2026-03,"[""NCT05398796""]","[{""city"": ""Bethesda, Maryland"", ""country"": ""United States"", ""population"": ""Healthy adults aged 18–60"", ""role"": ""Phase I clinical trial"", ""site"": ""NIH Clinical Center / Vaccine Research Center clinical program""}]","[{""amount"": null, ""currency"": ""USD"", ""funder"": ""NIH/NIAID"", ""grant_or_award"": ""Vaccine Research Center / Moderna collaboration"", ""note"": ""Public announcements identify NIAID and Moderna; specific public grant amount not curated."", ""unit"": """"}]",No licensed human reserve identified.,Updated to Phase I results published. Earlier notes that results were unavailable after September 2024 are now superseded by the 2026 Nature Medicine Phase I report.,"Endemic-region testing, dose/regimen decision, standardized neutralization/correlate work, and development-pathway decision.",Peer-reviewed Phase I results,False,True,Nature Medicine: mRNA-1215 Phase I report | PubMed: mRNA-1215 Phase I record | ClinicalTrials.gov NCT05398796 | NIH: launch of mRNA Nipah vaccine trial,https://www.nature.com/articles/s41591-026-04265-1 | https://pubmed.ncbi.nlm.nih.gov/41820674/ | https://clinicaltrials.gov/study/NCT05398796 | https://www.nih.gov/news-events/news-releases/nih-launches-clinical-trial-mrna-nipah-virus-vaccine,"NCT05398796: COMPLETED (PHASE1); start 2022-07-11, primary completion 2024-09-17",mRNA-1215: 60 Europe PMC hits,Source returned HTTP 403: https://europepmc.org/search?query=%22mRNA-1215%22%20Nipah,Timeline fields now separate completion date from publication status.
niv-gennova-sarna-ind-enabling,Gennova self-amplifying mRNA Nipah vaccine candidate,Human vaccine,Active public-health priority,Henipavirus nipahense,Nipah virus,AI-assisted antigen discovery and saRNA platform development in India,IND-enabling / clinical-entry preparation,ind_enabling,3,mRNA - self-amplifying RNA,Self-amplifying mRNA vaccine platform with lipid nanoparticle/lyophilised manufacturing approach,Human prophylactic vaccine,"Gennova Biopharmaceuticals, CEPI, Houston Methodist Research Institute",Preclinical and planned Phase I testing in India,Preclinical / clinical-entry preparation; no public Phase I registry curated yet,CEPI announced expanded funding for preclinical and Phase I vaccine tests in India.,No clinical results yet,,,,,[],"[{""city"": ""Pune and to be confirmed trial sites"", ""country"": ""India"", ""population"": ""Planned healthy adult volunteers; registry not yet curated"", ""role"": ""Preclinical development and planned Phase I testing"", ""site"": ""Gennova Biopharmaceuticals""}, {""city"": ""Houston, Texas"", ""country"": ""United States"", ""population"": ""Not a clinical trial site"", ""role"": ""AI-assisted antigen-target identification"", ""site"": ""Houston Methodist Research Institute""}]","[{""amount"": 13.38, ""currency"": ""USD"", ""funder"": ""CEPI"", ""grant_or_award"": ""Expanded Gennova Nipah saRNA vaccine collaboration"", ""note"": ""March 2025 CEPI announcement."", ""unit"": ""million""}, {""amount"": 3.6, ""currency"": ""USD"", ""funder"": ""CEPI"", ""grant_or_award"": ""Earlier Gennova saRNA platform optimisation"", ""note"": ""CEPI initial platform-technology support announced in August 2023."", ""unit"": ""million""}]",No reserve identified.,Newly added saRNA program to broaden mRNA platform coverage beyond Moderna/NIAID mRNA-1215.,"Public registry ID, Phase I protocol details, antigen construct disclosure, preclinical immunogenicity/toxicology data.",CEPI-funded preclinical-to-Phase I preparation,False,False,CEPI: AI-enhanced self-amplifying mRNA vaccine set to combat Nipah | Gennova Biopharmaceuticals corporate site,https://cepi.net/ai-enhanced-self-amplifying-mrna-vaccine-set-combat-one-deadliest-known-viruses | https://gennova.bio/,,Gennova-saRNA-Nipah: 2 Europe PMC hits,Source returned HTTP 403: https://europepmc.org/search?query=Gennova%20self-amplifying%20mRNA%20Nipah%20vaccine,Added from user-requested March 2025 CEPI update; curated below Phase I until a public trial registry or launch notice is available.
niv-mvniv-phase1-started,MV-NiV,Human vaccine,Active public-health priority,Henipavirus nipahense,Nipah virus,Recombinant measles virus vector expressing Nipah virus antigen,Phase I started / ongoing,phase1_started,5,Viral vector - recombinant measles,Recombinant measles virus vector vaccine,Human prophylactic vaccine,"University of Tokyo, European Vaccine Initiative, AMED/SCARDA collaborators",Initial first-in-human trial in Europe/Belgium; Phase I/II Bangladesh development anticipated,Phase I scheduled/registered; monitor for active recruitment and first dosing,"EVI announced support for first-in-human clinical development, with an initial trial scheduled in Belgium and later Phase I/II work in Bangladesh anticipated.",No human results yet,2026-04,,,,"[""EU CT 2025-522293-37-00""]","[{""city"": ""To be confirmed"", ""country"": ""Belgium"", ""population"": ""Healthy volunteers, 18–40 in Belgian biosafety summary"", ""role"": ""Phase I healthy volunteer trial"", ""site"": ""European first-in-human site""}, {""city"": ""To be confirmed"", ""country"": ""Bangladesh"", ""population"": ""At-risk or endemic-region populations, to be confirmed"", ""role"": ""Planned follow-on development"", ""site"": ""Future Phase I/II affected-area sites""}]","[{""amount"": null, ""currency"": """", ""funder"": ""AMED/SCARDA"", ""grant_or_award"": ""Japanese strategic vaccine-development support"", ""note"": ""EVI describes the candidate as developed under Japan-supported pandemic vaccine development."", ""unit"": """"}]",No reserve identified.,MV-NiV is now shown as a clinical-entry measles-vector program rather than a generic preclinical/measles platform row.,"Confirm first participant dosed, registry status, protocol endpoints, and Bangladesh Phase I/II timing.",Phase I scheduled/registered; preclinical efficacy cited by sponsor,False,True,European Vaccine Initiative: first-in-human trial of MV-NiV | EU Clinical Trials Information System search | Belgian Biosafety advisory summary for MV-NiV,https://www.euvaccine.eu/post/evi-supports-first-in-human-clinical-trial-of-novel-nipah-virus-vaccine | https://euclinicaltrials.eu/search-for-clinical-trials/?lang=en | https://www.biosafety.be/content/mv-niv-recombinant-measles-virus-vector-vaccine-against-nipah-virus,2025-522293-37-00: monitored page,MV-NiV: 4 Europe PMC hits,Source returned HTTP 404: https://www.biosafety.be/content/mv-niv-recombinant-measles-virus-vector-vaccine-against-nipah-virus | Source title may indicate a stale/broken page: Page not found | Belgian Biosafety Server | Source returned HTTP 403: https://europepmc.org/search?query=%22MV-NiV%22%20Nipah%20vaccine,Uses Phase I started/ongoing lane because public sources point to first-in-human clinical entry; keep under review until enrolment status is machine-readable.
niv-cd40-targeted-preclinical,CD40.NiV / CD40-targeted Nipah vaccine concept,Human vaccine - preclinical platform,Active public-health priority,Henipavirus nipahense,Nipah virus,NiV glycoprotein antigen targeted to CD40 antigen-presenting cells,Preclinical / animal-model evidence,preclinical,2,Subunit protein / immune-targeted biologic,CD40-targeted recombinant protein immunogen,Human vaccine concept,Academic/preclinical investigators,Animal-model immunogenicity/protection evidence,Preclinical,No public human clinical trial identified.,Preclinical publication available,,,,,[],[],[],None identified.,Representative preclinical immune-targeting approach retained as platform evidence.,"Manufacturability, toxicology, GLP package, and clinical sponsor.",Preclinical animal/model evidence,False,False,Cell Reports Medicine / PubMed preclinical CD40.NiV work,https://pubmed.ncbi.nlm.nih.gov/38471503/,,CD40-NiV: 78 Europe PMC hits,Source returned HTTP 403: https://europepmc.org/search?query=CD40%20Nipah%20vaccine,Preclinical comparator row for platform diversity.
niv-g-nanoparticle-preclinical,Nipah G glycoprotein nanoparticle / ferritin concepts,Human vaccine - preclinical platform,Active public-health priority,Henipavirus nipahense,Nipah virus,Attachment glycoprotein nanoparticle and ferritin-based subunit designs,Preclinical / animal-model evidence,preclinical,2,Subunit protein / nanoparticle,Nanoparticle-displayed Nipah attachment glycoprotein antigens,Human vaccine concept,Academic/preclinical investigators,Mouse/hamster preclinical immunogenicity and protection work,Preclinical,No public human clinical trial identified.,Preclinical publication available,,,,,[],[],[],None identified.,Adds nanoparticle subunit representation to the platform tracker.,"Down-select antigen, adjuvant, dose, durability, and translational sponsor.",Preclinical animal/model evidence,False,False,npj Vaccines: attachment glycoprotein nanoparticle elicits broad neutralizing antibodies | Virologica Sinica / ferritin nanoparticle-based Nipah glycoprotein vaccines,https://www.nature.com/articles/s41541-024-00943-y | https://www.sciencedirect.com/science/article/pii/S1995820X2400144X,,Nipah-nanoparticle: 379 Europe PMC hits,Source returned HTTP 404: https://www.nature.com/articles/s41541-024-00943-y | Source title may indicate a stale/broken page: Page not found | Nature | Source returned HTTP 403: https://www.sciencedirect.com/science/article/pii/S1995820X2400144X | Source returned HTTP 403: https://europepmc.org/search?query=Nipah%20nanoparticle%20vaccine,Preclinical platform row; not a clinical candidate.
hnv-fc-broad-preclinical,Fc-based broad henipavirus immunogen concepts,Human vaccine - preclinical platform,Broad preparedness / Disease X adjacency,Henipavirus nipahense / Henipavirus hendraense,Broad Nipah/Hendra scope,Cross-reactive F/G antigen engineering and broad henipavirus immune-response concepts,Preclinical / animal-model evidence,preclinical,2,Subunit protein / broad henipavirus,Engineered glycoprotein immunogens with Fc or multimeric display,Human vaccine concept,Academic/preclinical investigators,Preclinical broad-henipavirus immunogen design,Preclinical,No public human clinical trial identified.,Preclinical publication available,,,,,[],[],[],None identified.,"Retained as a broad-henipavirus platform row, distinct from species-specific active clinical programs.","Breadth testing against diverse henipaviruses, manufacturability, and sponsor.",Preclinical broad-protection concept,False,False,PMC: broad henipavirus Fc-based / immunogen preclinical literature,https://pmc.ncbi.nlm.nih.gov/articles/PMC12062192/,,broad-henipavirus-Fc: 183 Europe PMC hits,Source returned HTTP 403: https://europepmc.org/search?query=broad%20henipavirus%20Fc%20vaccine,"Broad-preparedness platform evidence, not an active clinical product."
niv-vlp-preclinical,Nipah virus-like particle vaccine concepts,Human vaccine - preclinical platform,Active public-health priority,Henipavirus nipahense,Nipah virus,"Virus-like particles containing Nipah G, F, and matrix proteins",Preclinical / animal-model evidence,preclinical,2,Virus-like particle (VLP),Virus-like particle vaccine,Human vaccine concept,Academic/preclinical investigators,Hamster challenge-model protection evidence,Preclinical,No public human clinical trial identified.,Preclinical publication available,,,,,[],[],[],None identified.,New platform-tracker row added for user-requested VLP coverage.,"GMP manufacturing path, adjuvant/dose optimization, NHP bridging, and clinical sponsor.",Preclinical animal-model protection,False,False,npj Vaccines: VLP-based vaccine provides protection against Nipah challenge | ResearchGate mirror/summary of VLP protection findings,https://www.nature.com/articles/s41541-017-0023-7 | https://www.researchgate.net/publication/318988373_A_VLP-based_vaccine_provides_complete_protection_against_Nipah_virus_challenge_following_multiple-dose_or_single-dose_vaccination_schedules_in_a_hamster_model,,Nipah-VLP: 1125 Europe PMC hits,Source returned HTTP 403: https://www.researchgate.net/publication/318988373_A_VLP-based_vaccine_provides_complete_protection_against_Nipah_virus_challenge_following_multiple-dose_or_single-dose_vaccination_schedules_in_a_hamster_model | Source returned HTTP 403: https://europepmc.org/search?query=Nipah%20virus-like%20particle%20vaccine,Added to ensure platform tracker shows VLP representation; still preclinical.
